id,file_mp3,clipBegin,clipEnd
id_1,chuong26.mp3,0.000,3.768
id_2,chuong26.mp3,3.768,36.840
id_3,chuong26.mp3,36.840,53.784
id_4,chuong26.mp3,53.784,74.784
id_5,chuong26.mp3,74.784,86.616
id_6,chuong26.mp3,86.616,94.848
id_7,chuong26.mp3,94.848,103.200
id_8,chuong26.mp3,103.200,118.152
id_9,chuong26.mp3,118.152,120.240
id_10,chuong26.mp3,120.240,124.104
id_11,chuong26.mp3,124.104,129.168
id_12,chuong26.mp3,129.168,133.536
id_13,chuong26.mp3,133.536,144.264
id_14,chuong26.mp3,144.264,149.472
id_15,chuong26.mp3,149.472,154.104
id_16,chuong26.mp3,154.104,171.144
id_17,chuong26.mp3,171.144,174.480
id_18,chuong26.mp3,174.480,177.144
id_19,chuong26.mp3,177.144,181.752
id_20,chuong26.mp3,181.752,190.896
id_21,chuong26.mp3,190.896,201.456
id_22,chuong26.mp3,201.456,205.296
id_23,chuong26.mp3,205.296,214.440
id_24,chuong26.mp3,214.440,267.816
id_25,chuong26.mp3,267.816,277.104
