id,file_mp3,clipBegin,clipEnd
id_1,chuong41.mp3,0.000,3.408
id_2,chuong41.mp3,3.408,9.936
id_3,chuong41.mp3,9.936,12.840
id_4,chuong41.mp3,12.840,14.904
id_5,chuong41.mp3,14.904,16.776
id_6,chuong41.mp3,16.776,26.400
id_7,chuong41.mp3,26.400,33.240
id_8,chuong41.mp3,33.240,39.096
id_9,chuong41.mp3,39.096,57.192
id_10,chuong41.mp3,57.192,63.408
id_11,chuong41.mp3,63.408,68.544
id_12,chuong41.mp3,68.544,74.328
id_13,chuong41.mp3,74.328,80.832
id_14,chuong41.mp3,80.832,89.280
id_15,chuong41.mp3,89.280,119.232
id_16,chuong41.mp3,119.232,124.872
id_17,chuong41.mp3,124.872,130.272
id_18,chuong41.mp3,130.272,132.936
id_19,chuong41.mp3,132.936,140.304
id_20,chuong41.mp3,140.304,145.992
id_21,chuong41.mp3,145.992,158.256
id_22,chuong41.mp3,158.256,190.704
id_23,chuong41.mp3,190.704,196.320
id_24,chuong41.mp3,196.320,200.064
id_25,chuong41.mp3,200.064,205.608
id_26,chuong41.mp3,205.608,222.240
id_27,chuong41.mp3,222.240,241.296
