id,file_mp3,clipBegin,clipEnd
id_1,chuong23.mp3,0.000,3.600
id_2,chuong23.mp3,3.600,23.520
id_3,chuong23.mp3,23.520,47.784
id_4,chuong23.mp3,47.784,50.304
id_5,chuong23.mp3,50.304,53.280
id_6,chuong23.mp3,53.280,55.416
id_7,chuong23.mp3,55.416,62.808
id_8,chuong23.mp3,62.808,75.624
id_9,chuong23.mp3,75.624,118.320
id_10,chuong23.mp3,118.320,122.016
id_11,chuong23.mp3,122.016,139.032
id_12,chuong23.mp3,139.032,160.632
id_13,chuong23.mp3,160.632,172.416
id_14,chuong23.mp3,172.416,186.000
id_15,chuong23.mp3,186.000,188.976
id_16,chuong23.mp3,188.976,214.056
id_17,chuong23.mp3,214.056,219.360
id_18,chuong23.mp3,219.360,229.368
