id,file_mp3,clipBegin,clipEnd
id_1,chuong51.mp3,0.000,4.152
id_2,chuong51.mp3,4.152,12.384
id_3,chuong51.mp3,12.384,28.560
id_4,chuong51.mp3,28.560,62.424
id_5,chuong51.mp3,62.424,70.032
id_6,chuong51.mp3,70.032,72.672
id_7,chuong51.mp3,72.672,75.432
id_8,chuong51.mp3,75.432,90.864
id_9,chuong51.mp3,90.864,98.352
id_10,chuong51.mp3,98.352,101.160
id_11,chuong51.mp3,101.160,103.176
id_12,chuong51.mp3,103.176,113.544
id_13,chuong51.mp3,113.544,121.008
id_14,chuong51.mp3,121.008,127.272
id_15,chuong51.mp3,127.272,129.144
id_16,chuong51.mp3,129.144,132.264
id_17,chuong51.mp3,132.264,136.488
id_18,chuong51.mp3,136.488,148.752
id_19,chuong51.mp3,148.752,151.896
id_20,chuong51.mp3,151.896,162.096
id_21,chuong51.mp3,162.096,164.112
id_22,chuong51.mp3,164.112,166.920
id_23,chuong51.mp3,166.920,176.520
id_24,chuong51.mp3,176.520,179.928
id_25,chuong51.mp3,179.928,184.032
id_26,chuong51.mp3,184.032,186.648
id_27,chuong51.mp3,186.648,189.840
id_28,chuong51.mp3,189.840,192.840
id_29,chuong51.mp3,192.840,199.104
id_30,chuong51.mp3,199.104,202.776
id_31,chuong51.mp3,202.776,205.464
id_32,chuong51.mp3,205.464,207.792
id_33,chuong51.mp3,207.792,209.760
id_34,chuong51.mp3,209.760,215.856
id_35,chuong51.mp3,215.856,221.400
id_36,chuong51.mp3,221.400,223.392
id_37,chuong51.mp3,223.392,240.168
id_38,chuong51.mp3,240.168,252.936
id_39,chuong51.mp3,252.936,257.208
id_40,chuong51.mp3,257.208,259.200
id_41,chuong51.mp3,259.200,261.240
id_42,chuong51.mp3,261.240,267.144
id_43,chuong51.mp3,267.144,270.408
id_44,chuong51.mp3,270.408,273.984
id_45,chuong51.mp3,273.984,282.240
id_46,chuong51.mp3,282.240,288.192
id_47,chuong51.mp3,288.192,296.184
id_48,chuong51.mp3,296.184,311.040
id_49,chuong51.mp3,311.040,314.376
id_50,chuong51.mp3,314.376,316.752
id_51,chuong51.mp3,316.752,321.048
id_52,chuong51.mp3,321.048,325.968
id_53,chuong51.mp3,325.968,327.840
id_54,chuong51.mp3,327.840,330.144
id_55,chuong51.mp3,330.144,339.120
id_56,chuong51.mp3,339.120,341.112
id_57,chuong51.mp3,341.112,345.192
id_58,chuong51.mp3,345.192,353.472
id_59,chuong51.mp3,353.472,358.944
id_60,chuong51.mp3,358.944,369.744
id_61,chuong51.mp3,369.744,373.512
id_62,chuong51.mp3,373.512,381.240
id_63,chuong51.mp3,381.240,390.768
id_64,chuong51.mp3,390.768,392.760
id_65,chuong51.mp3,392.760,397.176
id_66,chuong51.mp3,397.176,404.040
id_67,chuong51.mp3,404.040,410.928
id_68,chuong51.mp3,410.928,418.032
id_69,chuong51.mp3,418.032,421.848
id_70,chuong51.mp3,421.848,432.024
id_71,chuong51.mp3,432.024,439.176
id_72,chuong51.mp3,439.176,441.168
id_73,chuong51.mp3,441.168,456.216
id_74,chuong51.mp3,456.216,468.024
id_75,chuong51.mp3,468.024,475.776
id_76,chuong51.mp3,475.776,477.792
id_77,chuong51.mp3,477.792,484.560
id_78,chuong51.mp3,484.560,492.048
id_79,chuong51.mp3,492.048,494.640
id_80,chuong51.mp3,494.640,498.648
id_81,chuong51.mp3,498.648,504.768
id_82,chuong51.mp3,504.768,517.656
id_83,chuong51.mp3,517.656,521.280
