id,file_mp3,clipBegin,clipEnd
id_1,chuong37.mp3,0.000,3.744
id_2,chuong37.mp3,3.744,46.008
id_3,chuong37.mp3,46.008,74.256
id_4,chuong37.mp3,74.256,77.928
id_5,chuong37.mp3,77.928,82.896
id_6,chuong37.mp3,82.896,91.296
id_7,chuong37.mp3,91.296,96.888
id_8,chuong37.mp3,96.888,99.960
id_9,chuong37.mp3,99.960,112.872
id_10,chuong37.mp3,112.872,135.696
id_11,chuong37.mp3,135.696,140.016
id_12,chuong37.mp3,140.016,163.440
id_13,chuong37.mp3,163.440,196.968
id_14,chuong37.mp3,196.968,206.160
id_15,chuong37.mp3,206.160,208.344
id_16,chuong37.mp3,208.344,213.384
