id,file_mp3,clipBegin,clipEnd
id_1,chuong36.mp3,0.000,4.152
id_2,chuong36.mp3,4.152,22.296
id_3,chuong36.mp3,22.296,51.912
id_4,chuong36.mp3,51.912,58.920
id_5,chuong36.mp3,58.920,74.400
id_6,chuong36.mp3,74.400,91.608
id_7,chuong36.mp3,91.608,147.000
id_8,chuong36.mp3,147.000,161.064
id_9,chuong36.mp3,161.064,194.064
id_10,chuong36.mp3,194.064,204.192
id_11,chuong36.mp3,204.192,224.064
id_12,chuong36.mp3,224.064,227.064
id_13,chuong36.mp3,227.064,254.304
id_14,chuong36.mp3,254.304,262.416
id_15,chuong36.mp3,262.416,268.200
id_16,chuong36.mp3,268.200,276.168
id_17,chuong36.mp3,276.168,280.152
id_18,chuong36.mp3,280.152,285.672
id_19,chuong36.mp3,285.672,291.864
id_20,chuong36.mp3,291.864,295.920
