id,file_mp3,clipBegin,clipEnd
id_1,chuong04.mp3,0.000,3.384
id_2,chuong04.mp3,3.384,10.200
id_3,chuong04.mp3,10.200,16.824
id_4,chuong04.mp3,16.824,26.160
id_5,chuong04.mp3,26.160,48.456
id_6,chuong04.mp3,48.456,55.272
id_7,chuong04.mp3,55.272,61.632
id_8,chuong04.mp3,61.632,76.008
id_9,chuong04.mp3,76.008,87.624
id_10,chuong04.mp3,87.624,95.448
id_11,chuong04.mp3,95.448,103.080
id_12,chuong04.mp3,103.080,110.304
id_13,chuong04.mp3,110.304,115.152
id_14,chuong04.mp3,115.152,119.976
id_15,chuong04.mp3,119.976,127.416
id_16,chuong04.mp3,127.416,129.936
id_17,chuong04.mp3,129.936,132.216
id_18,chuong04.mp3,132.216,138.768
id_19,chuong04.mp3,138.768,149.856
id_20,chuong04.mp3,149.856,160.920
id_21,chuong04.mp3,160.920,167.016
