id,file_mp3,clipBegin,clipEnd
id_1,chuong32.mp3,0.000,3.768
id_2,chuong32.mp3,3.768,34.800
id_3,chuong32.mp3,34.800,57.480
id_4,chuong32.mp3,57.480,94.776
id_5,chuong32.mp3,94.776,175.152
id_6,chuong32.mp3,175.152,192.216
id_7,chuong32.mp3,192.216,235.872
id_8,chuong32.mp3,235.872,251.976
id_9,chuong32.mp3,251.976,307.752
id_10,chuong32.mp3,307.752,341.424
id_11,chuong32.mp3,341.424,344.592
id_12,chuong32.mp3,344.592,360.480
id_13,chuong32.mp3,360.480,380.904
id_14,chuong32.mp3,380.904,438.888
id_15,chuong32.mp3,438.888,445.512
id_16,chuong32.mp3,445.512,451.632
id_17,chuong32.mp3,451.632,459.768
id_18,chuong32.mp3,459.768,480.336
id_19,chuong32.mp3,480.336,487.392
id_20,chuong32.mp3,487.392,496.752
id_21,chuong32.mp3,496.752,501.576
id_22,chuong32.mp3,501.576,517.704
id_23,chuong32.mp3,517.704,540.648
