id,file_mp3,clipBegin,clipEnd
id_1,chuong18.mp3,0.000,3.216
id_2,chuong18.mp3,3.216,9.960
id_3,chuong18.mp3,9.960,15.576
id_4,chuong18.mp3,15.576,19.728
id_5,chuong18.mp3,19.728,48.312
id_6,chuong18.mp3,48.312,62.352
id_7,chuong18.mp3,62.352,68.232
id_8,chuong18.mp3,68.232,72.096
id_9,chuong18.mp3,72.096,89.280
id_10,chuong18.mp3,89.280,94.344
id_11,chuong18.mp3,94.344,99.552
id_12,chuong18.mp3,99.552,131.136
id_13,chuong18.mp3,131.136,148.896
id_14,chuong18.mp3,148.896,172.680
id_15,chuong18.mp3,172.680,179.040
id_16,chuong18.mp3,179.040,193.152
id_17,chuong18.mp3,193.152,229.968
id_18,chuong18.mp3,229.968,261.816
id_19,chuong18.mp3,261.816,298.368
