id,file_mp3,clipBegin,clipEnd
id_1,chuong13.mp3,0.000,3.744
id_2,chuong13.mp3,3.744,31.320
id_3,chuong13.mp3,31.320,41.208
id_4,chuong13.mp3,41.208,68.328
id_5,chuong13.mp3,68.328,71.376
id_6,chuong13.mp3,71.376,87.312
id_7,chuong13.mp3,87.312,93.600
id_8,chuong13.mp3,93.600,97.152
id_9,chuong13.mp3,97.152,102.336
id_10,chuong13.mp3,102.336,105.240
id_11,chuong13.mp3,105.240,115.440
id_12,chuong13.mp3,115.440,118.824
id_13,chuong13.mp3,118.824,121.824
id_14,chuong13.mp3,121.824,124.416
id_15,chuong13.mp3,124.416,130.992
id_16,chuong13.mp3,130.992,141.720
id_17,chuong13.mp3,141.720,146.856
id_18,chuong13.mp3,146.856,152.160
id_19,chuong13.mp3,152.160,158.784
id_20,chuong13.mp3,158.784,162.792
id_21,chuong13.mp3,162.792,169.056
id_22,chuong13.mp3,169.056,181.752
id_23,chuong13.mp3,181.752,185.904
id_24,chuong13.mp3,185.904,193.848
id_25,chuong13.mp3,193.848,196.896
id_26,chuong13.mp3,196.896,201.072
id_27,chuong13.mp3,201.072,204.096
id_28,chuong13.mp3,204.096,209.880
id_29,chuong13.mp3,209.880,215.928
id_30,chuong13.mp3,215.928,225.792
id_31,chuong13.mp3,225.792,236.208
id_32,chuong13.mp3,236.208,244.944
id_33,chuong13.mp3,244.944,259.680
id_34,chuong13.mp3,259.680,286.632
