id,file_mp3,clipBegin,clipEnd
id_1,chuong14.mp3,0.000,3.984
id_2,chuong14.mp3,3.984,28.992
id_3,chuong14.mp3,28.992,60.312
id_4,chuong14.mp3,60.312,76.176
id_5,chuong14.mp3,76.176,111.792
id_6,chuong14.mp3,111.792,118.560
id_7,chuong14.mp3,118.560,144.144
id_8,chuong14.mp3,144.144,167.040
id_9,chuong14.mp3,167.040,171.024
id_10,chuong14.mp3,171.024,175.368
id_11,chuong14.mp3,175.368,181.296
id_12,chuong14.mp3,181.296,187.896
id_13,chuong14.mp3,187.896,194.880
id_14,chuong14.mp3,194.880,197.232
id_15,chuong14.mp3,197.232,201.120
id_16,chuong14.mp3,201.120,209.112
id_17,chuong14.mp3,209.112,213.120
id_18,chuong14.mp3,213.120,219.552
id_19,chuong14.mp3,219.552,223.896
id_20,chuong14.mp3,223.896,231.048
id_21,chuong14.mp3,231.048,244.296
id_22,chuong14.mp3,244.296,273.192
id_23,chuong14.mp3,273.192,284.904
id_24,chuong14.mp3,284.904,296.016
id_25,chuong14.mp3,296.016,307.464
id_26,chuong14.mp3,307.464,326.232
id_27,chuong14.mp3,326.232,339.432
id_28,chuong14.mp3,339.432,344.616
id_29,chuong14.mp3,344.616,347.496
