id,file_mp3,clipBegin,clipEnd
id_1,chuong22.mp3,0.000,4.176
id_2,chuong22.mp3,4.176,8.568
id_3,chuong22.mp3,8.568,18.600
id_4,chuong22.mp3,18.600,23.184
id_5,chuong22.mp3,23.184,33.624
id_6,chuong22.mp3,33.624,50.448
id_7,chuong22.mp3,50.448,58.872
id_8,chuong22.mp3,58.872,64.200
id_9,chuong22.mp3,64.200,75.384
id_10,chuong22.mp3,75.384,82.536
id_11,chuong22.mp3,82.536,87.936
id_12,chuong22.mp3,87.936,89.928
id_13,chuong22.mp3,89.928,97.776
id_14,chuong22.mp3,97.776,111.768
id_15,chuong22.mp3,111.768,173.832
id_16,chuong22.mp3,173.832,183.240
id_17,chuong22.mp3,183.240,226.728
id_18,chuong22.mp3,226.728,248.064
id_19,chuong22.mp3,248.064,254.808
id_20,chuong22.mp3,254.808,256.848
id_21,chuong22.mp3,256.848,260.064
id_22,chuong22.mp3,260.064,262.920
id_23,chuong22.mp3,262.920,266.952
id_24,chuong22.mp3,266.952,271.560
id_25,chuong22.mp3,271.560,284.760
id_26,chuong22.mp3,284.760,291.984
