id,file_mp3,clipBegin,clipEnd
id_1,chuong49.mp3,0.000,3.840
id_2,chuong49.mp3,3.840,19.464
id_3,chuong49.mp3,19.464,21.528
id_4,chuong49.mp3,21.528,26.064
id_5,chuong49.mp3,26.064,33.048
id_6,chuong49.mp3,33.048,39.456
id_7,chuong49.mp3,39.456,54.000
id_8,chuong49.mp3,54.000,56.448
id_9,chuong49.mp3,56.448,68.856
id_10,chuong49.mp3,68.856,73.008
id_11,chuong49.mp3,73.008,91.224
id_12,chuong49.mp3,91.224,93.168
id_13,chuong49.mp3,93.168,101.064
id_14,chuong49.mp3,101.064,102.936
id_15,chuong49.mp3,102.936,111.864
id_16,chuong49.mp3,111.864,118.056
id_17,chuong49.mp3,118.056,122.784
id_18,chuong49.mp3,122.784,145.800
id_19,chuong49.mp3,145.800,156.720
id_20,chuong49.mp3,156.720,158.592
id_21,chuong49.mp3,158.592,173.352
id_22,chuong49.mp3,173.352,180.024
id_23,chuong49.mp3,180.024,191.544
id_24,chuong49.mp3,191.544,196.944
id_25,chuong49.mp3,196.944,201.408
id_26,chuong49.mp3,201.408,203.472
id_27,chuong49.mp3,203.472,205.344
id_28,chuong49.mp3,205.344,225.192
id_29,chuong49.mp3,225.192,233.928
id_30,chuong49.mp3,233.928,245.376
