sheet_tab,title,isbn,creator,subject_code,subject,publisher,date,language,collector,sourceURL
DS_main,Chiến binh cầu vồng,9786045314951,Andrea Hirata,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2020,vi,Ngô Thanh Tùng,
DS_main,Chiến thắng con quỷ trong bạn,9786044968704,Napoleon Hill,L,Văn học & Tiểu thuyết,NXB Lao Động Xã Hội,2013,vi,Ngô Thanh Tùng,
DS_main,Chiến tranh tiền tệ,9786041017740,Song Hong Bing,B,Kinh tế & Kinh doanh,NXB Lao Động,2025,vi,Bùi Minh Quân,
DS_main,Cho tôi xin một vé đi tuổi thơ,9786041243132,Nguyễn Nhật Ánh,L,Văn học & Tiểu thuyết,NXB Trẻ,2008,vi,Nguyễn Đoàn Xuân Thu,
DS_main,Chú Bé Mang Pyjama Sọc,9786045300022,John Boyne,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2018,vi,Ngô Thanh Tùng,
DS_main,Chúa ruồi,9786049937309,William Golding,L,Văn học & Tiểu thuyết,NXB Văn học,2008,vi,Ngô Thanh Tùng,
DS_main,Chuyện con chó tên là Trung Thành,9786049670749,Luis Sepúlveda,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2021,vi,Ngô Thanh Tùng,
DS_main,Chuyện con mèo dạy hải âu bay,9786045313589,Luis Sepúlveda,L,Văn học & Tiểu thuyết,Nhà xuất bản Văn học,2011,vi,Hồ Khổng Tuyết Như,
DS_main,Chuyện con mèo và con chuột bạn thân của nó,9786045357651,Luis Sepúlveda,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2019,vi,Hồ Khổng Tuyết Như,
DS_main,Chuyện con ốc sên muốn biết tại sao nó chậm chạp,9786044972558,Luis Sepúlveda,L,Văn học & Tiểu thuyết,NXB Hội Nhà Văn,2022,vi,Ngô Thanh Tùng,
DS_main,Chuyến phiêu lưu kỳ diệu của Edward Tulane,9786044872995,Kate DiCamillo,L,Văn học & Tiểu thuyết,NXB Hồng Đức,2023,vi,Ngô Thanh Tùng,
DS_main,Chuyện Tấm Cám trong con mắt thiền,,Dân gian truyền miệng,L,Văn học & Tiểu thuyết,Không rõ,,vi,Nguyễn Đoàn Xuân Thu,
