id,file_mp3,clipBegin,clipEnd
id_1,chuong45.mp3,0.000,3.720
id_2,chuong45.mp3,3.720,14.496
id_3,chuong45.mp3,14.496,20.040
id_4,chuong45.mp3,20.040,53.472
id_5,chuong45.mp3,53.472,62.928
id_6,chuong45.mp3,62.928,75.960
id_7,chuong45.mp3,75.960,80.040
id_8,chuong45.mp3,80.040,82.872
id_9,chuong45.mp3,82.872,122.760
id_10,chuong45.mp3,122.760,169.392
id_11,chuong45.mp3,169.392,171.744
id_12,chuong45.mp3,171.744,178.392
id_13,chuong45.mp3,178.392,180.264
id_14,chuong45.mp3,180.264,182.760
id_15,chuong45.mp3,182.760,193.680
id_16,chuong45.mp3,193.680,216.408
id_17,chuong45.mp3,216.408,218.544
id_18,chuong45.mp3,218.544,235.608
id_19,chuong45.mp3,235.608,304.752
id_20,chuong45.mp3,304.752,309.024
id_21,chuong45.mp3,309.024,315.792
id_22,chuong45.mp3,315.792,317.664
id_23,chuong45.mp3,317.664,319.536
id_24,chuong45.mp3,319.536,347.616
id_25,chuong45.mp3,347.616,357.480
id_26,chuong45.mp3,357.480,372.360
id_27,chuong45.mp3,372.360,383.664
id_28,chuong45.mp3,383.664,389.736
id_29,chuong45.mp3,389.736,394.560
id_30,chuong45.mp3,394.560,405.336
id_31,chuong45.mp3,405.336,417.336
