id,file_mp3,clipBegin,clipEnd
id_1,chuong54.mp3,0.000,3.384
id_2,chuong54.mp3,3.384,11.400
id_3,chuong54.mp3,11.400,16.776
id_4,chuong54.mp3,16.776,58.200
id_5,chuong54.mp3,58.200,61.992
id_6,chuong54.mp3,61.992,65.328
id_7,chuong54.mp3,65.328,67.536
id_8,chuong54.mp3,67.536,69.456
id_9,chuong54.mp3,69.456,71.568
id_10,chuong54.mp3,71.568,73.680
id_11,chuong54.mp3,73.680,76.488
id_12,chuong54.mp3,76.488,78.840
id_13,chuong54.mp3,78.840,86.136
id_14,chuong54.mp3,86.136,119.568
id_15,chuong54.mp3,119.568,130.104
id_16,chuong54.mp3,130.104,142.896
id_17,chuong54.mp3,142.896,147.960
id_18,chuong54.mp3,147.960,160.968
id_19,chuong54.mp3,160.968,175.704
id_20,chuong54.mp3,175.704,185.472
id_21,chuong54.mp3,185.472,188.592
