id,file_mp3,clipBegin,clipEnd
id_1,chuong58.mp3,0.000,3.408
id_2,chuong58.mp3,3.408,10.800
id_3,chuong58.mp3,10.800,16.920
id_4,chuong58.mp3,16.920,29.712
id_5,chuong58.mp3,29.712,35.448
id_6,chuong58.mp3,35.448,55.536
id_7,chuong58.mp3,55.536,59.088
id_8,chuong58.mp3,59.088,66.000
id_9,chuong58.mp3,66.000,97.416
id_10,chuong58.mp3,97.416,100.440
id_11,chuong58.mp3,100.440,106.080
id_12,chuong58.mp3,106.080,110.952
id_13,chuong58.mp3,110.952,116.520
id_14,chuong58.mp3,116.520,121.416
id_15,chuong58.mp3,121.416,123.624
id_16,chuong58.mp3,123.624,126.528
id_17,chuong58.mp3,126.528,130.032
id_18,chuong58.mp3,130.032,131.904
id_19,chuong58.mp3,131.904,135.552
id_20,chuong58.mp3,135.552,164.328
id_21,chuong58.mp3,164.328,177.600
id_22,chuong58.mp3,177.600,196.704
id_23,chuong58.mp3,196.704,209.184
id_24,chuong58.mp3,209.184,224.880
id_25,chuong58.mp3,224.880,238.320
