id,file_mp3,clipBegin,clipEnd
id_1,chuong57.mp3,0.000,4.464
id_2,chuong57.mp3,4.464,38.232
id_3,chuong57.mp3,38.232,48.480
id_4,chuong57.mp3,48.480,67.896
id_5,chuong57.mp3,67.896,75.144
id_6,chuong57.mp3,75.144,85.824
id_7,chuong57.mp3,85.824,111.288
id_8,chuong57.mp3,111.288,113.424
id_9,chuong57.mp3,113.424,117.840
id_10,chuong57.mp3,117.840,136.272
id_11,chuong57.mp3,136.272,138.936
id_12,chuong57.mp3,138.936,142.440
id_13,chuong57.mp3,142.440,144.312
id_14,chuong57.mp3,144.312,151.872
id_15,chuong57.mp3,151.872,171.168
id_16,chuong57.mp3,171.168,173.400
id_17,chuong57.mp3,173.400,176.688
id_18,chuong57.mp3,176.688,202.344
id_19,chuong57.mp3,202.344,207.456
id_20,chuong57.mp3,207.456,217.632
