id,file_mp3,clipBegin,clipEnd
id_1,chuong10.mp3,0.000,3.984
id_2,chuong10.mp3,3.984,12.936
id_3,chuong10.mp3,12.936,31.632
id_4,chuong10.mp3,31.632,46.440
id_5,chuong10.mp3,46.440,82.968
id_6,chuong10.mp3,82.968,91.800
id_7,chuong10.mp3,91.800,103.464
id_8,chuong10.mp3,103.464,133.392
id_9,chuong10.mp3,133.392,153.912
id_10,chuong10.mp3,153.912,173.016
id_11,chuong10.mp3,173.016,183.384
id_12,chuong10.mp3,183.384,186.240
id_13,chuong10.mp3,186.240,188.688
id_14,chuong10.mp3,188.688,191.928
id_15,chuong10.mp3,191.928,203.808
id_16,chuong10.mp3,203.808,214.824
id_17,chuong10.mp3,214.824,217.512
id_18,chuong10.mp3,217.512,220.440
id_19,chuong10.mp3,220.440,225.048
id_20,chuong10.mp3,225.048,229.104
id_21,chuong10.mp3,229.104,230.976
id_22,chuong10.mp3,230.976,233.688
id_23,chuong10.mp3,233.688,241.128
id_24,chuong10.mp3,241.128,244.872
id_25,chuong10.mp3,244.872,248.784
id_26,chuong10.mp3,248.784,254.712
id_27,chuong10.mp3,254.712,262.296
id_28,chuong10.mp3,262.296,265.440
id_29,chuong10.mp3,265.440,284.184
id_30,chuong10.mp3,284.184,307.032
id_31,chuong10.mp3,307.032,312.048
