id,file_mp3,clipBegin,clipEnd
id_1,chuong48.mp3,0.000,4.176
id_2,chuong48.mp3,4.176,19.464
id_3,chuong48.mp3,19.464,23.232
id_4,chuong48.mp3,23.232,26.664
id_5,chuong48.mp3,26.664,32.544
id_6,chuong48.mp3,32.544,36.216
id_7,chuong48.mp3,36.216,39.264
id_8,chuong48.mp3,39.264,48.312
id_9,chuong48.mp3,48.312,67.512
id_10,chuong48.mp3,67.512,125.688
id_11,chuong48.mp3,125.688,129.240
id_12,chuong48.mp3,129.240,132.384
id_13,chuong48.mp3,132.384,135.984
id_14,chuong48.mp3,135.984,151.800
id_15,chuong48.mp3,151.800,164.640
id_16,chuong48.mp3,164.640,171.456
id_17,chuong48.mp3,171.456,186.600
id_18,chuong48.mp3,186.600,189.648
id_19,chuong48.mp3,189.648,192.888
id_20,chuong48.mp3,192.888,196.128
id_21,chuong48.mp3,196.128,207.168
id_22,chuong48.mp3,207.168,210.216
id_23,chuong48.mp3,210.216,213.456
id_24,chuong48.mp3,213.456,235.056
id_25,chuong48.mp3,235.056,238.104
id_26,chuong48.mp3,238.104,241.344
id_27,chuong48.mp3,241.344,249.024
id_28,chuong48.mp3,249.024,270.696
id_29,chuong48.mp3,270.696,276.672
id_30,chuong48.mp3,276.672,279.720
id_31,chuong48.mp3,279.720,282.960
id_32,chuong48.mp3,282.960,287.760
