id,file_mp3,clipBegin,clipEnd
id_1,chuong12.mp3,0.000,4.008
id_2,chuong12.mp3,4.008,11.088
id_3,chuong12.mp3,11.088,17.016
id_4,chuong12.mp3,17.016,21.672
id_5,chuong12.mp3,21.672,23.544
id_6,chuong12.mp3,23.544,28.392
id_7,chuong12.mp3,28.392,40.944
id_8,chuong12.mp3,40.944,54.096
id_9,chuong12.mp3,54.096,77.664
id_10,chuong12.mp3,77.664,85.632
id_11,chuong12.mp3,85.632,96.672
id_12,chuong12.mp3,96.672,104.016
id_13,chuong12.mp3,104.016,110.568
id_14,chuong12.mp3,110.568,118.272
id_15,chuong12.mp3,118.272,132.216
id_16,chuong12.mp3,132.216,139.608
id_17,chuong12.mp3,139.608,144.312
id_18,chuong12.mp3,144.312,151.488
id_19,chuong12.mp3,151.488,162.456
id_20,chuong12.mp3,162.456,169.584
id_21,chuong12.mp3,169.584,188.328
id_22,chuong12.mp3,188.328,191.064
id_23,chuong12.mp3,191.064,195.744
id_24,chuong12.mp3,195.744,199.512
id_25,chuong12.mp3,199.512,203.664
id_26,chuong12.mp3,203.664,208.896
id_27,chuong12.mp3,208.896,216.552
id_28,chuong12.mp3,216.552,253.416
id_29,chuong12.mp3,253.416,264.816
id_30,chuong12.mp3,264.816,275.112
id_31,chuong12.mp3,275.112,280.944
id_32,chuong12.mp3,280.944,286.440
id_33,chuong12.mp3,286.440,290.928
id_34,chuong12.mp3,290.928,299.472
