id,file_mp3,clipBegin,clipEnd
id_1,chuong20.mp3,0.000,3.912
id_2,chuong20.mp3,3.912,19.512
id_3,chuong20.mp3,19.512,23.952
id_4,chuong20.mp3,23.952,27.336
id_5,chuong20.mp3,27.336,45.144
id_6,chuong20.mp3,45.144,56.856
id_7,chuong20.mp3,56.856,69.096
id_8,chuong20.mp3,69.096,74.088
id_9,chuong20.mp3,74.088,77.640
id_10,chuong20.mp3,77.640,86.568
id_11,chuong20.mp3,86.568,93.144
id_12,chuong20.mp3,93.144,100.152
id_13,chuong20.mp3,100.152,106.320
id_14,chuong20.mp3,106.320,118.728
id_15,chuong20.mp3,118.728,142.920
id_16,chuong20.mp3,142.920,153.624
id_17,chuong20.mp3,153.624,173.376
id_18,chuong20.mp3,173.376,189.192
id_19,chuong20.mp3,189.192,206.088
id_20,chuong20.mp3,206.088,217.368
