id,file_mp3,clipBegin,clipEnd
id_1,chuong21.mp3,0.000,4.296
id_2,chuong21.mp3,4.296,21.432
id_3,chuong21.mp3,21.432,51.864
id_4,chuong21.mp3,51.864,62.568
id_5,chuong21.mp3,62.568,78.768
id_6,chuong21.mp3,78.768,93.792
id_7,chuong21.mp3,93.792,97.488
id_8,chuong21.mp3,97.488,114.936
id_9,chuong21.mp3,114.936,127.296
id_10,chuong21.mp3,127.296,145.752
id_11,chuong21.mp3,145.752,148.800
id_12,chuong21.mp3,148.800,181.512
id_13,chuong21.mp3,181.512,196.200
id_14,chuong21.mp3,196.200,199.680
id_15,chuong21.mp3,199.680,213.888
id_16,chuong21.mp3,213.888,222.600
id_17,chuong21.mp3,222.600,229.440
id_18,chuong21.mp3,229.440,246.096
id_19,chuong21.mp3,246.096,265.536
id_20,chuong21.mp3,265.536,270.264
id_21,chuong21.mp3,270.264,272.136
id_22,chuong21.mp3,272.136,294.264
id_23,chuong21.mp3,294.264,315.144
id_24,chuong21.mp3,315.144,318.480
id_25,chuong21.mp3,318.480,331.152
id_26,chuong21.mp3,331.152,347.544
id_27,chuong21.mp3,347.544,356.184
id_28,chuong21.mp3,356.184,359.232
id_29,chuong21.mp3,359.232,364.584
id_30,chuong21.mp3,364.584,367.560
id_31,chuong21.mp3,367.560,372.192
id_32,chuong21.mp3,372.192,377.808
id_33,chuong21.mp3,377.808,382.416
id_34,chuong21.mp3,382.416,396.552
id_35,chuong21.mp3,396.552,404.688
id_36,chuong21.mp3,404.688,423.216
id_37,chuong21.mp3,423.216,432.456
