id,file_mp3,clipBegin,clipEnd
id_1,chuong17.mp3,0.000,4.248
id_2,chuong17.mp3,4.248,16.176
id_3,chuong17.mp3,16.176,28.464
id_4,chuong17.mp3,28.464,35.064
id_5,chuong17.mp3,35.064,39.720
id_6,chuong17.mp3,39.720,44.424
id_7,chuong17.mp3,44.424,50.256
id_8,chuong17.mp3,50.256,52.560
id_9,chuong17.mp3,52.560,61.344
id_10,chuong17.mp3,61.344,70.200
id_11,chuong17.mp3,70.200,73.656
id_12,chuong17.mp3,73.656,92.832
id_13,chuong17.mp3,92.832,113.136
id_14,chuong17.mp3,113.136,115.008
id_15,chuong17.mp3,115.008,128.208
id_16,chuong17.mp3,128.208,131.928
id_17,chuong17.mp3,131.928,135.600
id_18,chuong17.mp3,135.600,138.096
id_19,chuong17.mp3,138.096,149.832
id_20,chuong17.mp3,149.832,154.056
id_21,chuong17.mp3,154.056,164.496
id_22,chuong17.mp3,164.496,178.080
id_23,chuong17.mp3,178.080,189.696
id_24,chuong17.mp3,189.696,212.544
id_25,chuong17.mp3,212.544,219.936
id_26,chuong17.mp3,219.936,234.888
id_27,chuong17.mp3,234.888,237.792
id_28,chuong17.mp3,237.792,266.232
id_29,chuong17.mp3,266.232,271.296
id_30,chuong17.mp3,271.296,288.312
id_31,chuong17.mp3,288.312,297.144
id_32,chuong17.mp3,297.144,299.808
id_33,chuong17.mp3,299.808,307.992
id_34,chuong17.mp3,307.992,321.648
id_35,chuong17.mp3,321.648,333.840
id_36,chuong17.mp3,333.840,341.760
id_37,chuong17.mp3,341.760,345.936
