id,file_mp3,clipBegin,clipEnd
id_1,chuong31.mp3,0.000,4.128
id_2,chuong31.mp3,4.128,15.696
id_3,chuong31.mp3,15.696,72.696
id_4,chuong31.mp3,72.696,82.296
id_5,chuong31.mp3,82.296,103.296
id_6,chuong31.mp3,103.296,117.840
id_7,chuong31.mp3,117.840,122.352
id_8,chuong31.mp3,122.352,130.752
id_9,chuong31.mp3,130.752,136.992
id_10,chuong31.mp3,136.992,144.192
id_11,chuong31.mp3,144.192,179.592
id_12,chuong31.mp3,179.592,197.592
id_13,chuong31.mp3,197.592,221.784
id_14,chuong31.mp3,221.784,226.272
id_15,chuong31.mp3,226.272,241.176
id_16,chuong31.mp3,241.176,251.064
id_17,chuong31.mp3,251.064,254.808
id_18,chuong31.mp3,254.808,268.416
