id,file_mp3,clipBegin,clipEnd
id_1,chuong47.mp3,0.000,3.456
id_2,chuong47.mp3,3.456,5.688
id_3,chuong47.mp3,5.688,17.736
id_4,chuong47.mp3,17.736,19.608
id_5,chuong47.mp3,19.608,26.736
id_6,chuong47.mp3,26.736,28.608
id_7,chuong47.mp3,28.608,46.440
id_8,chuong47.mp3,46.440,57.144
id_9,chuong47.mp3,57.144,70.584
id_10,chuong47.mp3,70.584,74.424
id_11,chuong47.mp3,74.424,90.792
id_12,chuong47.mp3,90.792,106.176
id_13,chuong47.mp3,106.176,122.232
id_14,chuong47.mp3,122.232,127.512
id_15,chuong47.mp3,127.512,140.664
id_16,chuong47.mp3,140.664,147.888
