id,file_mp3,clipBegin,clipEnd
id_1,chuong40.mp3,0.000,3.792
id_2,chuong40.mp3,3.792,36.696
id_3,chuong40.mp3,36.696,38.760
id_4,chuong40.mp3,38.760,69.240
id_5,chuong40.mp3,69.240,72.240
id_6,chuong40.mp3,72.240,76.296
id_7,chuong40.mp3,76.296,80.448
id_8,chuong40.mp3,80.448,84.288
id_9,chuong40.mp3,84.288,137.304
id_10,chuong40.mp3,137.304,141.960
id_11,chuong40.mp3,141.960,146.592
id_12,chuong40.mp3,146.592,151.008
id_13,chuong40.mp3,151.008,154.368
id_14,chuong40.mp3,154.368,167.088
id_15,chuong40.mp3,167.088,191.784
id_16,chuong40.mp3,191.784,228.888
id_17,chuong40.mp3,228.888,232.800
id_18,chuong40.mp3,232.800,241.176
id_19,chuong40.mp3,241.176,243.720
id_20,chuong40.mp3,243.720,247.728
id_21,chuong40.mp3,247.728,256.560
