id,file_mp3,clipBegin,clipEnd
id_1,chuong46.mp3,0.000,4.584
id_2,chuong46.mp3,4.584,7.440
id_3,chuong46.mp3,7.440,16.800
id_4,chuong46.mp3,16.800,19.800
id_5,chuong46.mp3,19.800,22.056
id_6,chuong46.mp3,22.056,52.128
id_7,chuong46.mp3,52.128,92.928
id_8,chuong46.mp3,92.928,95.760
id_9,chuong46.mp3,95.760,106.224
id_10,chuong46.mp3,106.224,141.528
id_11,chuong46.mp3,141.528,156.168
id_12,chuong46.mp3,156.168,158.832
id_13,chuong46.mp3,158.832,165.720
id_14,chuong46.mp3,165.720,195.648
id_15,chuong46.mp3,195.648,202.512
id_16,chuong46.mp3,202.512,209.496
id_17,chuong46.mp3,209.496,218.160
id_18,chuong46.mp3,218.160,221.784
