id,file_mp3,clipBegin,clipEnd
id_1,chuong33.mp3,0.000,4.056
id_2,chuong33.mp3,4.056,13.344
id_3,chuong33.mp3,13.344,15.768
id_4,chuong33.mp3,15.768,18.960
id_5,chuong33.mp3,18.960,21.744
id_6,chuong33.mp3,21.744,40.968
id_7,chuong33.mp3,40.968,67.320
id_8,chuong33.mp3,67.320,69.672
id_9,chuong33.mp3,69.672,71.784
id_10,chuong33.mp3,71.784,74.424
id_11,chuong33.mp3,74.424,76.656
id_12,chuong33.mp3,76.656,79.104
id_13,chuong33.mp3,79.104,81.624
id_14,chuong33.mp3,81.624,83.664
id_15,chuong33.mp3,83.664,86.016
id_16,chuong33.mp3,86.016,87.984
id_17,chuong33.mp3,87.984,93.144
id_18,chuong33.mp3,93.144,95.856
id_19,chuong33.mp3,95.856,98.184
id_20,chuong33.mp3,98.184,100.656
id_21,chuong33.mp3,100.656,102.960
id_22,chuong33.mp3,102.960,108.312
id_23,chuong33.mp3,108.312,124.944
id_24,chuong33.mp3,124.944,127.728
id_25,chuong33.mp3,127.728,130.584
id_26,chuong33.mp3,130.584,132.552
id_27,chuong33.mp3,132.552,138.048
id_28,chuong33.mp3,138.048,165.672
id_29,chuong33.mp3,165.672,181.680
id_30,chuong33.mp3,181.680,183.552
id_31,chuong33.mp3,183.552,185.880
id_32,chuong33.mp3,185.880,187.968
