id,file_mp3,clipBegin,clipEnd
id_1,chuong60.mp3,0.000,3.552
id_2,chuong60.mp3,3.552,27.168
id_3,chuong60.mp3,27.168,34.872
id_4,chuong60.mp3,34.872,36.936
id_5,chuong60.mp3,36.936,41.736
id_6,chuong60.mp3,41.736,43.992
id_7,chuong60.mp3,43.992,53.112
id_8,chuong60.mp3,53.112,78.792
id_9,chuong60.mp3,78.792,83.976
id_10,chuong60.mp3,83.976,101.376
id_11,chuong60.mp3,101.376,110.832
id_12,chuong60.mp3,110.832,112.896
id_13,chuong60.mp3,112.896,133.272
id_14,chuong60.mp3,133.272,143.208
id_15,chuong60.mp3,143.208,158.160
id_16,chuong60.mp3,158.160,163.608
id_17,chuong60.mp3,163.608,181.920
id_18,chuong60.mp3,181.920,209.040
id_19,chuong60.mp3,209.040,219.624
id_20,chuong60.mp3,219.624,232.272
id_21,chuong60.mp3,232.272,238.368
id_22,chuong60.mp3,238.368,240.720
id_23,chuong60.mp3,240.720,247.632
id_24,chuong60.mp3,247.632,255.936
id_25,chuong60.mp3,255.936,262.368
id_26,chuong60.mp3,262.368,266.664
id_27,chuong60.mp3,266.664,273.552
id_28,chuong60.mp3,273.552,286.848
id_29,chuong60.mp3,286.848,294.144
id_30,chuong60.mp3,294.144,299.088
id_31,chuong60.mp3,299.088,305.424
id_32,chuong60.mp3,305.424,310.632
id_33,chuong60.mp3,310.632,318.528
id_34,chuong60.mp3,318.528,337.848
id_35,chuong60.mp3,337.848,341.568
id_36,chuong60.mp3,341.568,353.208
id_37,chuong60.mp3,353.208,367.416
id_38,chuong60.mp3,367.416,370.920
id_39,chuong60.mp3,370.920,377.160
