id,file_mp3,clipBegin,clipEnd
id_1,chuong53.mp3,0.000,3.600
id_2,chuong53.mp3,3.600,5.976
id_3,chuong53.mp3,5.976,22.632
id_4,chuong53.mp3,22.632,37.656
id_5,chuong53.mp3,37.656,76.920
id_6,chuong53.mp3,76.920,130.656
id_7,chuong53.mp3,130.656,134.424
id_8,chuong53.mp3,134.424,138.720
id_9,chuong53.mp3,138.720,147.000
id_10,chuong53.mp3,147.000,175.224
id_11,chuong53.mp3,175.224,194.640
id_12,chuong53.mp3,194.640,214.392
id_13,chuong53.mp3,214.392,220.728
id_14,chuong53.mp3,220.728,224.568
id_15,chuong53.mp3,224.568,230.040
id_16,chuong53.mp3,230.040,237.096
id_17,chuong53.mp3,237.096,239.376
id_18,chuong53.mp3,239.376,243.432
id_19,chuong53.mp3,243.432,248.304
id_20,chuong53.mp3,248.304,274.200
id_21,chuong53.mp3,274.200,278.208
id_22,chuong53.mp3,278.208,291.864
id_23,chuong53.mp3,291.864,314.352
id_24,chuong53.mp3,314.352,323.952
id_25,chuong53.mp3,323.952,330.816
