id,file_mp3,clipBegin,clipEnd
id_1,chuong50.mp3,0.000,3.696
id_2,chuong50.mp3,3.696,29.400
id_3,chuong50.mp3,29.400,52.824
id_4,chuong50.mp3,52.824,57.912
id_5,chuong50.mp3,57.912,77.520
id_6,chuong50.mp3,77.520,81.624
id_7,chuong50.mp3,81.624,84.600
id_8,chuong50.mp3,84.600,86.472
id_9,chuong50.mp3,86.472,101.184
id_10,chuong50.mp3,101.184,105.024
id_11,chuong50.mp3,105.024,109.944
id_12,chuong50.mp3,109.944,112.632
id_13,chuong50.mp3,112.632,114.552
id_14,chuong50.mp3,114.552,117.240
id_15,chuong50.mp3,117.240,123.384
id_16,chuong50.mp3,123.384,133.152
id_17,chuong50.mp3,133.152,141.960
id_18,chuong50.mp3,141.960,143.952
id_19,chuong50.mp3,143.952,156.888
id_20,chuong50.mp3,156.888,159.912
id_21,chuong50.mp3,159.912,163.056
id_22,chuong50.mp3,163.056,165.120
id_23,chuong50.mp3,165.120,167.328
id_24,chuong50.mp3,167.328,173.040
id_25,chuong50.mp3,173.040,181.512
id_26,chuong50.mp3,181.512,183.384
id_27,chuong50.mp3,183.384,186.456
id_28,chuong50.mp3,186.456,191.592
id_29,chuong50.mp3,191.592,195.648
id_30,chuong50.mp3,195.648,204.624
id_31,chuong50.mp3,204.624,208.920
id_32,chuong50.mp3,208.920,211.344
id_33,chuong50.mp3,211.344,227.208
id_34,chuong50.mp3,227.208,230.616
id_35,chuong50.mp3,230.616,237.888
id_36,chuong50.mp3,237.888,241.992
id_37,chuong50.mp3,241.992,253.296
id_38,chuong50.mp3,253.296,256.680
id_39,chuong50.mp3,256.680,289.824
id_40,chuong50.mp3,289.824,297.696
