id,file_mp3,clipBegin,clipEnd
id_1,chuong59.mp3,0.000,4.032
id_2,chuong59.mp3,4.032,17.856
id_3,chuong59.mp3,17.856,22.968
id_4,chuong59.mp3,22.968,41.232
id_5,chuong59.mp3,41.232,63.552
id_6,chuong59.mp3,63.552,105.168
id_7,chuong59.mp3,105.168,128.880
id_8,chuong59.mp3,128.880,138.984
id_9,chuong59.mp3,138.984,151.680
id_10,chuong59.mp3,151.680,159.504
id_11,chuong59.mp3,159.504,163.128
id_12,chuong59.mp3,163.128,184.632
id_13,chuong59.mp3,184.632,186.504
id_14,chuong59.mp3,186.504,188.952
id_15,chuong59.mp3,188.952,194.448
id_16,chuong59.mp3,194.448,198.624
id_17,chuong59.mp3,198.624,201.144
id_18,chuong59.mp3,201.144,205.752
id_19,chuong59.mp3,205.752,207.768
id_20,chuong59.mp3,207.768,212.712
id_21,chuong59.mp3,212.712,218.208
id_22,chuong59.mp3,218.208,222.816
id_23,chuong59.mp3,222.816,238.248
id_24,chuong59.mp3,238.248,248.328
id_25,chuong59.mp3,248.328,259.464
id_26,chuong59.mp3,259.464,266.472
id_27,chuong59.mp3,266.472,272.712
id_28,chuong59.mp3,272.712,277.704
id_29,chuong59.mp3,277.704,295.656
id_30,chuong59.mp3,295.656,313.800
id_31,chuong59.mp3,313.800,325.296
id_32,chuong59.mp3,325.296,351.912
id_33,chuong59.mp3,351.912,359.304
id_34,chuong59.mp3,359.304,370.632
