id,file_mp3,clipBegin,clipEnd
id_1,chuong52.mp3,0.000,4.176
id_2,chuong52.mp3,4.176,18.672
id_3,chuong52.mp3,18.672,23.400
id_4,chuong52.mp3,23.400,48.528
id_5,chuong52.mp3,48.528,54.120
id_6,chuong52.mp3,54.120,56.832
id_7,chuong52.mp3,56.832,81.264
id_8,chuong52.mp3,81.264,93.216
id_9,chuong52.mp3,93.216,105.648
id_10,chuong52.mp3,105.648,108.144
id_11,chuong52.mp3,108.144,110.976
id_12,chuong52.mp3,110.976,115.200
id_13,chuong52.mp3,115.200,119.832
id_14,chuong52.mp3,119.832,133.440
id_15,chuong52.mp3,133.440,137.928
id_16,chuong52.mp3,137.928,186.888
id_17,chuong52.mp3,186.888,193.296
id_18,chuong52.mp3,193.296,199.896
id_19,chuong52.mp3,199.896,211.248
id_20,chuong52.mp3,211.248,216.336
id_21,chuong52.mp3,216.336,218.472
id_22,chuong52.mp3,218.472,220.896
id_23,chuong52.mp3,220.896,223.656
id_24,chuong52.mp3,223.656,226.080
id_25,chuong52.mp3,226.080,229.056
id_26,chuong52.mp3,229.056,234.264
id_27,chuong52.mp3,234.264,236.472
id_28,chuong52.mp3,236.472,238.824
id_29,chuong52.mp3,238.824,243.168
id_30,chuong52.mp3,243.168,247.152
id_31,chuong52.mp3,247.152,257.016
id_32,chuong52.mp3,257.016,272.880
id_33,chuong52.mp3,272.880,289.080
id_34,chuong52.mp3,289.080,303.528
