id,file_mp3,clipBegin,clipEnd
id_1,chuong56.mp3,0.000,3.744
id_2,chuong56.mp3,3.744,18.840
id_3,chuong56.mp3,18.840,37.584
id_4,chuong56.mp3,37.584,73.800
id_5,chuong56.mp3,73.800,78.768
id_6,chuong56.mp3,78.768,85.512
id_7,chuong56.mp3,85.512,88.776
id_8,chuong56.mp3,88.776,103.704
id_9,chuong56.mp3,103.704,120.096
id_10,chuong56.mp3,120.096,131.472
id_11,chuong56.mp3,131.472,136.728
id_12,chuong56.mp3,136.728,168.312
id_13,chuong56.mp3,168.312,175.056
id_14,chuong56.mp3,175.056,189.168
id_15,chuong56.mp3,189.168,200.256
id_16,chuong56.mp3,200.256,212.376
id_17,chuong56.mp3,212.376,220.272
id_18,chuong56.mp3,220.272,225.864
id_19,chuong56.mp3,225.864,236.304
