id,file_mp3,clipBegin,clipEnd
id_1,chuong00.mp3,0.000,6.576
id_2,chuong00.mp3,6.576,9.024
id_3,chuong00.mp3,9.024,50.304
id_4,chuong00.mp3,50.304,59.904
id_5,chuong00.mp3,59.904,76.680
id_6,chuong00.mp3,76.680,79.464
id_7,chuong00.mp3,79.464,81.984
id_8,chuong00.mp3,81.984,129.000
id_9,chuong00.mp3,129.000,142.632
id_10,chuong00.mp3,142.632,161.088
id_11,chuong00.mp3,161.088,163.872
id_12,chuong00.mp3,163.872,166.776
id_13,chuong00.mp3,166.776,181.560
id_14,chuong00.mp3,181.560,192.912
id_15,chuong00.mp3,192.912,201.192
id_16,chuong00.mp3,201.192,207.504
id_17,chuong00.mp3,207.504,219.120
id_18,chuong00.mp3,219.120,230.520
id_19,chuong00.mp3,230.520,233.064
id_20,chuong00.mp3,233.064,237.672
id_21,chuong00.mp3,237.672,240.336
id_22,chuong00.mp3,240.336,243.912
id_23,chuong00.mp3,243.912,262.800
id_24,chuong00.mp3,262.800,302.904
id_25,chuong00.mp3,302.904,314.808
id_26,chuong00.mp3,314.808,316.680
id_27,chuong00.mp3,316.680,321.408
id_28,chuong00.mp3,321.408,324.072
id_29,chuong00.mp3,324.072,325.944
id_30,chuong00.mp3,325.944,334.224
id_31,chuong00.mp3,334.224,372.264
id_32,chuong00.mp3,372.264,408.120
id_33,chuong00.mp3,408.120,424.728
id_34,chuong00.mp3,424.728,456.384
id_35,chuong00.mp3,456.384,494.304
id_36,chuong00.mp3,494.304,510.096
id_37,chuong00.mp3,510.096,537.408
id_38,chuong00.mp3,537.408,552.720
id_39,chuong00.mp3,552.720,573.840
id_40,chuong00.mp3,573.840,591.984
id_41,chuong00.mp3,591.984,628.272
id_42,chuong00.mp3,628.272,661.080
id_43,chuong00.mp3,661.080,688.128
id_44,chuong00.mp3,688.128,719.232
id_45,chuong00.mp3,719.232,768.744
id_46,chuong00.mp3,768.744,787.464
id_47,chuong00.mp3,787.464,796.176
id_48,chuong00.mp3,796.176,810.432
id_49,chuong00.mp3,810.432,822.072
id_50,chuong00.mp3,822.072,839.688
id_51,chuong00.mp3,839.688,884.304
id_52,chuong00.mp3,884.304,899.856
id_53,chuong00.mp3,899.856,924.960
id_54,chuong00.mp3,924.960,999.768
id_55,chuong00.mp3,999.768,1030.608
id_56,chuong00.mp3,1030.608,1048.872
id_57,chuong00.mp3,1048.872,1067.760
id_58,chuong00.mp3,1067.760,1080.504
id_59,chuong00.mp3,1080.504,1118.520
id_60,chuong00.mp3,1118.520,1164.168
id_61,chuong00.mp3,1164.168,1210.704
id_62,chuong00.mp3,1210.704,1261.728
id_63,chuong00.mp3,1261.728,1288.584
id_64,chuong00.mp3,1288.584,1333.296
id_65,chuong00.mp3,1333.296,1343.040
id_66,chuong00.mp3,1343.040,1346.520
id_67,chuong00.mp3,1346.520,1386.864
id_68,chuong00.mp3,1386.864,1408.176
id_69,chuong00.mp3,1408.176,1439.976
id_70,chuong00.mp3,1439.976,1469.328
id_71,chuong00.mp3,1469.328,1508.160
id_72,chuong00.mp3,1508.160,1536.552
id_73,chuong00.mp3,1536.552,1593.720
id_74,chuong00.mp3,1593.720,1626.072
id_75,chuong00.mp3,1626.072,1689.552
id_76,chuong00.mp3,1689.552,1705.680
id_77,chuong00.mp3,1705.680,1725.312
id_78,chuong00.mp3,1725.312,1766.880
id_79,chuong00.mp3,1766.880,1789.536
id_80,chuong00.mp3,1789.536,1821.504
id_81,chuong00.mp3,1821.504,1874.616
id_82,chuong00.mp3,1874.616,1898.232
id_83,chuong00.mp3,1898.232,1971.312
id_84,chuong00.mp3,1971.312,1974.120
id_85,chuong00.mp3,1974.120,1976.784
