id,file_mp3,clipBegin,clipEnd
id_1,chuong02.mp3,0.000,3.744
id_2,chuong02.mp3,3.744,13.320
id_3,chuong02.mp3,13.320,22.056
id_4,chuong02.mp3,22.056,34.392
id_5,chuong02.mp3,34.392,41.976
id_6,chuong02.mp3,41.976,49.032
id_7,chuong02.mp3,49.032,124.872
id_8,chuong02.mp3,124.872,130.200
id_9,chuong02.mp3,130.200,156.624
id_10,chuong02.mp3,156.624,175.248
id_11,chuong02.mp3,175.248,178.176
id_12,chuong02.mp3,178.176,180.888
id_13,chuong02.mp3,180.888,184.344
id_14,chuong02.mp3,184.344,188.160
id_15,chuong02.mp3,188.160,194.616
id_16,chuong02.mp3,194.616,200.280
id_17,chuong02.mp3,200.280,204.000
id_18,chuong02.mp3,204.000,209.760
id_19,chuong02.mp3,209.760,214.848
id_20,chuong02.mp3,214.848,260.904
id_21,chuong02.mp3,260.904,278.208
id_22,chuong02.mp3,278.208,299.376
id_23,chuong02.mp3,299.376,307.008
id_24,chuong02.mp3,307.008,313.152
id_25,chuong02.mp3,313.152,316.800
id_26,chuong02.mp3,316.800,323.136
id_27,chuong02.mp3,323.136,332.856
id_28,chuong02.mp3,332.856,337.392
id_29,chuong02.mp3,337.392,399.384
id_30,chuong02.mp3,399.384,403.104
id_31,chuong02.mp3,403.104,462.336
id_32,chuong02.mp3,462.336,468.768
id_33,chuong02.mp3,468.768,472.464
id_34,chuong02.mp3,472.464,477.672
id_35,chuong02.mp3,477.672,481.224
id_36,chuong02.mp3,481.224,484.392
id_37,chuong02.mp3,484.392,501.120
id_38,chuong02.mp3,501.120,517.920
id_39,chuong02.mp3,517.920,523.920
id_40,chuong02.mp3,523.920,542.184
id_41,chuong02.mp3,542.184,547.968
id_42,chuong02.mp3,547.968,553.560
id_43,chuong02.mp3,553.560,561.744
id_44,chuong02.mp3,561.744,565.032
id_45,chuong02.mp3,565.032,568.704
