id,file_mp3,clipBegin,clipEnd
id_1,chuong05.mp3,0.000,3.312
id_2,chuong05.mp3,3.312,8.400
id_3,chuong05.mp3,8.400,22.680
id_4,chuong05.mp3,22.680,27.192
id_5,chuong05.mp3,27.192,31.056
id_6,chuong05.mp3,31.056,36.600
id_7,chuong05.mp3,36.600,39.456
id_8,chuong05.mp3,39.456,41.856
id_9,chuong05.mp3,41.856,48.624
id_10,chuong05.mp3,48.624,53.040
id_11,chuong05.mp3,53.040,59.232
id_12,chuong05.mp3,59.232,65.112
id_13,chuong05.mp3,65.112,71.064
id_14,chuong05.mp3,71.064,78.600
id_15,chuong05.mp3,78.600,85.584
id_16,chuong05.mp3,85.584,99.384
id_17,chuong05.mp3,99.384,126.984
id_18,chuong05.mp3,126.984,129.240
id_19,chuong05.mp3,129.240,139.584
id_20,chuong05.mp3,139.584,144.648
id_21,chuong05.mp3,144.648,160.440
id_22,chuong05.mp3,160.440,210.168
id_23,chuong05.mp3,210.168,216.360
id_24,chuong05.mp3,216.360,227.328
id_25,chuong05.mp3,227.328,231.048
id_26,chuong05.mp3,231.048,253.728
id_27,chuong05.mp3,253.728,273.048
id_28,chuong05.mp3,273.048,276.048
id_29,chuong05.mp3,276.048,280.632
id_30,chuong05.mp3,280.632,296.616
id_31,chuong05.mp3,296.616,322.032
id_32,chuong05.mp3,322.032,332.928
