id,file_mp3,clipBegin,clipEnd
id_1,chuong43.mp3,0.000,3.768
id_2,chuong43.mp3,3.768,30.936
id_3,chuong43.mp3,30.936,47.688
id_4,chuong43.mp3,47.688,58.008
id_5,chuong43.mp3,58.008,59.880
id_6,chuong43.mp3,59.880,73.008
id_7,chuong43.mp3,73.008,93.072
id_8,chuong43.mp3,93.072,115.104
id_9,chuong43.mp3,115.104,144.672
id_10,chuong43.mp3,144.672,147.168
id_11,chuong43.mp3,147.168,149.208
id_12,chuong43.mp3,149.208,162.720
id_13,chuong43.mp3,162.720,175.248
id_14,chuong43.mp3,175.248,188.880
id_15,chuong43.mp3,188.880,193.008
id_16,chuong43.mp3,193.008,199.152
id_17,chuong43.mp3,199.152,202.008
id_18,chuong43.mp3,202.008,218.472
id_19,chuong43.mp3,218.472,220.344
id_20,chuong43.mp3,220.344,226.032
id_21,chuong43.mp3,226.032,243.864
